id,geonameid,name,addrrecnum,address,zip,latitude,longitude
90131,NA,I-44 at Hampton Ave,NA,I-44 at Hampton Ave,NA,38.61861999999999,-90.28819099999998
90132,NA,Hampton Ave at I-44,NA,I-44 at Hampton Ave,NA,38.61861999999999,-90.28819099999998
90133,NA,I-44 Northbound at Hampton Ave,NA,I-44 at Hampton Ave,NA,38.61861999999999,-90.28819099999998
90134,NA,Hampton Ave at I-44 Northbound,NA,I-44 at Hampton Ave,NA,38.61861999999999,-90.28819099999998
90135,NA,I-44 Southbound at Hampton Ave,NA,I-44 at Hampton Ave,NA,38.61861999999999,-90.28819099999998
90136,NA,Hampton Ave at I-44 Southbound,NA,I-44 at Hampton Ave,NA,38.61861999999999,-90.28819099999998
90137,NA,I-44 Eastbound at Hampton Ave,NA,I-44 at Hampton Ave,NA,38.61861999999999,-90.28819099999998
90138,NA,Hampton Ave at I-44 Eastbound,NA,I-44 at Hampton Ave,NA,38.61861999999999,-90.28819099999998
90139,NA,I-44 Westbound at Hampton Ave,NA,I-44 at Hampton Ave,NA,38.61861999999999,-90.28819099999998
90140,NA,Hampton Ave at I-44 Westbound,NA,I-44 at Hampton Ave,NA,38.61861999999999,-90.28819099999998
90141,NA,I-44 at Hickory St,NA,I-44 at Hickory St,NA,38.614886999999996,-90.19451099999999
90142,NA,Hickory St at I-44,NA,I-44 at Hickory St,NA,38.614886999999996,-90.19451099999999
90143,NA,I-44 Northbound at Hickory St,NA,I-44 at Hickory St,NA,38.614886999999996,-90.19451099999999
90144,NA,Hickory St at I-44 Northbound,NA,I-44 at Hickory St,NA,38.614886999999996,-90.19451099999999
90145,NA,I-44 Southbound at Hickory St,NA,I-44 at Hickory St,NA,38.614886999999996,-90.19451099999999
90146,NA,Hickory St at I-44 Southbound,NA,I-44 at Hickory St,NA,38.614886999999996,-90.19451099999999
90147,NA,I-44 Eastbound at Hickory St,NA,I-44 at Hickory St,NA,38.614886999999996,-90.19451099999999
90148,NA,Hickory St at I-44 Eastbound,NA,I-44 at Hickory St,NA,38.614886999999996,-90.19451099999999
90149,NA,I-44 Westbound at Hickory St,NA,I-44 at Hickory St,NA,38.614886999999996,-90.19451099999999
90150,NA,Hickory St at I-44 Westbound,NA,I-44 at Hickory St,NA,38.614886999999996,-90.19451099999999
90151,NA,I-44 at Jamieson Ave,NA,I-44 at Jamieson Ave,NA,38.60592249999999,-90.30723599999999
90152,NA,Jamieson Ave at I-44,NA,I-44 at Jamieson Ave,NA,38.60592249999999,-90.30723599999999
90153,NA,I-44 Northbound at Jamieson Ave,NA,I-44 at Jamieson Ave,NA,38.60592249999999,-90.30723599999999
90154,NA,Jamieson Ave at I-44 Northbound,NA,I-44 at Jamieson Ave,NA,38.60592249999999,-90.30723599999999
90155,NA,I-44 Southbound at Jamieson Ave,NA,I-44 at Jamieson Ave,NA,38.60592249999999,-90.30723599999999
90156,NA,Jamieson Ave at I-44 Southbound,NA,I-44 at Jamieson Ave,NA,38.60592249999999,-90.30723599999999
90157,NA,I-44 Eastbound at Jamieson Ave,NA,I-44 at Jamieson Ave,NA,38.60592249999999,-90.30723599999999
90158,NA,Jamieson Ave at I-44 Eastbound,NA,I-44 at Jamieson Ave,NA,38.60592249999999,-90.30723599999999
90159,NA,I-44 Westbound at Jamieson Ave,NA,I-44 at Jamieson Ave,NA,38.60592249999999,-90.30723599999999
90160,NA,Jamieson Ave at I-44 Westbound,NA,I-44 at Jamieson Ave,NA,38.60592249999999,-90.30723599999999
90161,NA,I-44 at Lafayette Ave,NA,I-44 at Lafayette Ave,NA,38.611340999999996,-90.20378449999998
90162,NA,Lafayette Ave at I-44,NA,I-44 at Lafayette Ave,NA,38.611340999999996,-90.20378449999998
90163,NA,I-44 Northbound at Lafayette Ave,NA,I-44 at Lafayette Ave,NA,38.611340999999996,-90.20378449999998
90164,NA,Lafayette Ave at I-44 Northbound,NA,I-44 at Lafayette Ave,NA,38.611340999999996,-90.20378449999998
90165,NA,I-44 Southbound at Lafayette Ave,NA,I-44 at Lafayette Ave,NA,38.611340999999996,-90.20378449999998
90166,NA,Lafayette Ave at I-44 Southbound,NA,I-44 at Lafayette Ave,NA,38.611340999999996,-90.20378449999998
90167,NA,I-44 Eastbound at Lafayette Ave,NA,I-44 at Lafayette Ave,NA,38.611340999999996,-90.20378449999998
90168,NA,Lafayette Ave at I-44 Eastbound,NA,I-44 at Lafayette Ave,NA,38.611340999999996,-90.20378449999998
90169,NA,I-44 Westbound at Lafayette Ave,NA,I-44 at Lafayette Ave,NA,38.611340999999996,-90.20378449999998
