id,name,address,lat,lon
136,Hampton Ave at I-44 Southbound,I-44 at Hampton Ave,38.61861999999999,-90.28819099999998
137,I-44 Eastbound at Hampton Ave,I-44 at Hampton Ave,38.61861999999999,-90.28819099999998
138,Hampton Ave at I-44 Eastbound,I-44 at Hampton Ave,38.61861999999999,-90.28819099999998
139,I-44 Westbound at Hampton Ave,I-44 at Hampton Ave,38.61861999999999,-90.28819099999998
140,Hampton Ave at I-44 Westbound,I-44 at Hampton Ave,38.61861999999999,-90.28819099999998
141,I-44 at Hickory St,I-44 at Hickory St,38.614886999999996,-90.19451099999999
142,Hickory St at I-44,I-44 at Hickory St,38.614886999999996,-90.19451099999999
143,I-44 Northbound at Hickory St,I-44 at Hickory St,38.614886999999996,-90.19451099999999
144,Hickory St at I-44 Northbound,I-44 at Hickory St,38.614886999999996,-90.19451099999999
145,I-44 Southbound at Hickory St,I-44 at Hickory St,38.614886999999996,-90.19451099999999
146,Hickory St at I-44 Southbound,I-44 at Hickory St,38.614886999999996,-90.19451099999999
147,I-44 Eastbound at Hickory St,I-44 at Hickory St,38.614886999999996,-90.19451099999999
148,Hickory St at I-44 Eastbound,I-44 at Hickory St,38.614886999999996,-90.19451099999999
149,I-44 Westbound at Hickory St,I-44 at Hickory St,38.614886999999996,-90.19451099999999
150,Hickory St at I-44 Westbound,I-44 at Hickory St,38.614886999999996,-90.19451099999999
151,I-44 at Jamieson Ave,I-44 at Jamieson Ave,38.60592249999999,-90.30723599999999
152,Jamieson Ave at I-44,I-44 at Jamieson Ave,38.60592249999999,-90.30723599999999
153,I-44 Northbound at Jamieson Ave,I-44 at Jamieson Ave,38.60592249999999,-90.30723599999999
154,Jamieson Ave at I-44 Northbound,I-44 at Jamieson Ave,38.60592249999999,-90.30723599999999
155,I-44 Southbound at Jamieson Ave,I-44 at Jamieson Ave,38.60592249999999,-90.30723599999999
156,Jamieson Ave at I-44 Southbound,I-44 at Jamieson Ave,38.60592249999999,-90.30723599999999
157,I-44 Eastbound at Jamieson Ave,I-44 at Jamieson Ave,38.60592249999999,-90.30723599999999
158,Jamieson Ave at I-44 Eastbound,I-44 at Jamieson Ave,38.60592249999999,-90.30723599999999
159,I-44 Westbound at Jamieson Ave,I-44 at Jamieson Ave,38.60592249999999,-90.30723599999999
160,Jamieson Ave at I-44 Westbound,I-44 at Jamieson Ave,38.60592249999999,-90.30723599999999
161,I-44 at Lafayette Ave,I-44 at Lafayette Ave,38.611340999999996,-90.20378449999998
162,Lafayette Ave at I-44,I-44 at Lafayette Ave,38.611340999999996,-90.20378449999998
163,I-44 Northbound at Lafayette Ave,I-44 at Lafayette Ave,38.611340999999996,-90.20378449999998
164,Lafayette Ave at I-44 Northbound,I-44 at Lafayette Ave,38.611340999999996,-90.20378449999998
165,I-44 Southbound at Lafayette Ave,I-44 at Lafayette Ave,38.611340999999996,-90.20378449999998
166,Lafayette Ave at I-44 Southbound,I-44 at Lafayette Ave,38.611340999999996,-90.20378449999998
167,I-44 Eastbound at Lafayette Ave,I-44 at Lafayette Ave,38.611340999999996,-90.20378449999998
168,Lafayette Ave at I-44 Eastbound,I-44 at Lafayette Ave,38.611340999999996,-90.20378449999998
169,I-44 Westbound at Lafayette Ave,I-44 at Lafayette Ave,38.611340999999996,-90.20378449999998
170,Lafayette Ave at I-44 Westbound,I-44 at Lafayette Ave,38.611340999999996,-90.20378449999998
171,I-44 at Lombard St,I-44 at Lombard St,38.61735249999999,-90.1915125
172,Lombard St at I-44,I-44 at Lombard St,38.61735249999999,-90.1915125
173,I-44 Northbound at Lombard St,I-44 at Lombard St,38.61735249999999,-90.1915125
174,Lombard St at I-44 Northbound,I-44 at Lombard St,38.61735249999999,-90.1915125
175,I-44 Southbound at Lombard St,I-44 at Lombard St,38.61735249999999,-90.1915125
176,Lombard St at I-44 Southbound,I-44 at Lombard St,38.61735249999999,-90.1915125
177,I-44 Eastbound at Lombard St,I-44 at Lombard St,38.61735249999999,-90.1915125
178,Lombard St at I-44 Eastbound,I-44 at Lombard St,38.61735249999999,-90.1915125
179,I-44 Westbound at Lombard St,I-44 at Lombard St,38.61735249999999,-90.1915125
180,Lombard St at I-44 Westbound,I-44 at Lombard St,38.61735249999999,-90.1915125
181,I-44 at Macklind Ave,I-44 at Macklind Ave,38.619136499999996,-90.27665350000001
182,Macklind Ave at I-44,I-44 at Macklind Ave,38.619136499999996,-90.27665350000001
183,I-44 Northbound at Macklind Ave,I-44 at Macklind Ave,38.619136499999996,-90.27665350000001
184,Macklind Ave at I-44 Northbound,I-44 at Macklind Ave,38.619136499999996,-90.27665350000001
185,I-44 Southbound at Macklind Ave,I-44 at Macklind Ave,38.619136499999996,-90.27665350000001
186,Macklind Ave at I-44 Southbound,I-44 at Macklind Ave,38.619136499999996,-90.27665350000001
187,I-44 Eastbound at Macklind Ave,I-44 at Macklind Ave,38.619136499999996,-90.27665350000001
188,Macklind Ave at I-44 Eastbound,I-44 at Macklind Ave,38.619136499999996,-90.27665350000001
189,I-44 Westbound at Macklind Ave,I-44 at Macklind Ave,38.619136499999996,-90.27665350000001
190,Macklind Ave at I-44 Westbound,I-44 at Macklind Ave,38.619136499999996,-90.27665350000001
191,I-44 at Market St,I-44 at Market St,38.6248155,-90.18743049999999
192,Market St at I-44,I-44 at Market St,38.6248155,-90.18743049999999
193,I-44 Northbound at Market St,I-44 at Market St,38.6248155,-90.18743049999999
194,Market St at I-44 Northbound,I-44 at Market St,38.6248155,-90.18743049999999
195,I-44 Southbound at Market St,I-44 at Market St,38.6248155,-90.18743049999999
196,Market St at I-44 Southbound,I-44 at Market St,38.6248155,-90.18743049999999
197,I-44 Eastbound at Market St,I-44 at Market St,38.6248155,-90.18743049999999
198,Market St at I-44 Eastbound,I-44 at Market St,38.6248155,-90.18743049999999
199,I-44 Westbound at Market St,I-44 at Market St,38.6248155,-90.18743049999999
200,Market St at I-44 Westbound,I-44 at Market St,38.6248155,-90.18743049999999
201,I-44 at Mississippi Ave,I-44 at Mississippi Ave,38.612238999999995,-90.2144715
202,Mississippi Ave at I-44,I-44 at Mississippi Ave,38.612238999999995,-90.2144715
